,publication,title,authors,doi,year,cites,type,abstract,article_url,fulltext_url,abstractLength,scopus
80,Journal of the American Veterinary Medical Association,"Meningitis, cranial neuritis, and radiculoneuritis associated with Borrelia burgdorferi infection in a horse","[{'name': 'F.M. James', 'affiliation': 'New Bolton Center, Kennett Square, United States'}]",10.2460/javma.237.10.1180,2010,43,Article,,,,,1
82,Parasites and Vectors,Role of sand lizards in the ecology of Lyme and other tick-borne diseases in the Netherlands,"[{'name': 'E. Tijsse-Klasen', 'affiliation': 'National Institute for Public Health and the Environment, Bilthoven, Netherlands'}]",10.1186/1756-3305-3-42,2010,43,Article,,,,,1
85,Emerging Infectious Diseases,"Evolution of northeastern and midwestern Borrelia burgdorferi, United States","[{'name': 'D. Brisson', 'affiliation': 'University of Pennsylvania, Philadelphia, United States'}]",10.3201/eid1606.090329,2010,41,Article,,,,,1
88,American Journal of Epidemiology,"Utility of international classification of diseases, ninth revision, clinical modification codes for communicable disease surveillance","[{'name': 'E. Sickbert-Bennett', 'affiliation': 'The University of North Carolina at Chapel Hill, Chapel Hill, United States'}]",10.1093/aje/kwq285,2010,40,Article,,,,,1
90,Vaccine,Constructing target product profiles (TPPs) to help vaccines overcome post-approval obstacles,"[{'name': 'B.Y. Lee', 'affiliation': 'University of Pittsburgh, Pittsburgh, United States'}]",10.1016/j.vaccine.2009.09.047,2010,40,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S0264410X09013814,,,1
91,BMC Neurology,Neuroinflammation in Lyme neuroborreliosis affects amyloid metabolism,"[{'name': 'N. Mattsson', 'affiliation': 'Göteborg University, Sahlgrenska Academy, Gothenburg, Sweden'}]",10.1186/1471-2377-10-51,2010,39,Article,,,,,1
92,Ticks and Tick-borne Diseases,"A spatially-explicit model of acarological risk of exposure to Borrelia burgdorferi-infected Ixodes pacificus nymphs in northwestern California based on woodland type, temperature, and water vapor","[{'name': 'R.J. Eisen', 'affiliation': 'National Center for Emerging and Zoonotic Infectious Diseases, Atlanta, United States'}]",10.1016/j.ttbdis.2009.12.002,2010,39,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1877959X10000099,,,1
93,Clinical Microbiology and Infection,"Neuroborreliosis - an epidemiological, clinical and healthcare cost study from an endemic area in the south-east of Sweden","[{'name': 'A.J. Henningsson', 'affiliation': 'County Hospital Ryhov, Jonkoping, Sweden'}]",10.1111/j.1469-0691.2009.03059.x,2010,38,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1198743X14642257,,,1
95,Ticks and Tick-borne Diseases,Borrelia species in Ixodes affinis and Ixodes scapularis ticks collected from the coastal plain of North Carolina,"[{'name': 'R. Maggi', 'affiliation': 'NC State University, Raleigh, United States'}]",10.1016/j.ttbdis.2010.08.003,2010,37,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1877959X10000683,,,1
96,Archives of Disease in Childhood,Clinical presentation of childhood neuroborreliosis; neurological examination may be normal,"[{'name': 'D. Broekhuijsen-van Henten', 'affiliation': 'Isala Clinics, Zwolle, Netherlands'}]",10.1136/adc.2009.176529,2010,37,Article,,,,,1
97,Journal of Rheumatology,Outcomes of children treated for lyme arthritis: Results of a large pediatric cohort,"[{'name': 'H. Tory', 'affiliation': ""Yale-New Haven Children's Hospital, New Haven, United States""}]",10.3899/jrheum.090711,2010,37,Article,,,,,1
98,Infection and Immunity,Characterization of unique regions of Borrelia burgdorferi surface-located membrane protein,"[{'name': 'X. Yang', 'affiliation': 'University of Maryland, College Park, College Park, United States'}]",10.1128/IAI.00501-10,2010,36,Article,,,,,1
99,Journal of Vector Ecology,Recent discovery of widespread ixodes affinis (Acari: Ixodidae) distribution in North Carolina with implications for lyme disease studies,"[{'name': 'B.A. Harrison', 'affiliation': 'NORTH CAROLINA DEPARTMENT OF ENVIRONMENT AND, Raleigh, United States'}]",10.1111/j.1948-7134.2010.00074.x,2010,36,Article,,,,,1
100,Biochemistry,"Characterization of nicotinamidases: Steady state kinetic parameters, classwide inhibition by nicotinaldehydes, and catalytic mechanism","[{'name': 'J. French', 'affiliation': 'Cornell University, Ithaca, United States'}]",10.1021/bi1012518,2010,35,Article,,,,,1
101,Emerging Infectious Diseases,"Fatal babesiosis in man, Finland, 2004","[{'name': 'K. Haapasalo', 'affiliation': 'Hospital District of Helsinki and Uusimaa, Helsinki, Finland'}]",10.3201/eid1607.091905,2010,35,Article,,,,,1
102,Journal of the Neurological Sciences,Lyme optic neuritis,"[{'name': 'F. Blanc', 'affiliation': 'Université de Strasbourg, Strasbourg, France'}]",10.1016/j.jns.2010.05.009,2010,35,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S0022510X10002108,,,1
103,International Journal of Infectious Diseases,Maternal Lyme borreliosis and pregnancy outcome,"[{'name': 'A. Lakos', 'affiliation': 'Centre for Tick-borne Diseases, Budapest, Hungary'}]",10.1016/j.ijid.2009.07.019,2010,35,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S1201971209003312,,,1
104,Infection and Immunity,Role of the surface lipoprotein BBA07 in the enzootic cycle of Borrelia burgdorferi,"[{'name': 'H. Xu', 'affiliation': 'Indiana University School of Medicine, Indianapolis, United States'}]",10.1128/IAI.00372-10,2010,34,Article,,,,,1
107,Medical and Veterinary Entomology,Ticks and Lyme borreliosis in an alpine area in northeast Italy,"[{'name': 'F. Nazzi', 'affiliation': 'Università degli Studi di Udine, Udine, Italy'}]",10.1111/j.1365-2915.2010.00877.x,2010,32,Article,,,,,1
111,Muscle and Nerve,Sporadic late onset nemaline myopathy responsive to IVIg and immunotherapy,"[{'name': 'M. Milone', 'affiliation': 'Mayo Clinic, Rochester, United States'}]",10.1002/mus.21504,2010,32,Article,,,,,1
113,Journal of Medical Entomology,"Ecological niche modeling of Lyme disease in British Columbia, Canada","[{'name': 'S. Mak', 'affiliation': 'BC Centre for Disease Control, Vancouver, Canada'}]",10.1603/033.047.0114,2010,31,Article,,,,,1
114,Infection,Acute transverse myelitis in Lyme neuroborreliosis,"[{'name': 'S. Bigi', 'affiliation': 'University Hospital Bern, Bern, Switzerland'}]",10.1007/s15010-010-0028-x,2010,30,Article,,,,,1
115,Medical Microbiology and Immunology,Presence of Borrelia burgdorferi in endomyocardial biopsies in patients with new-onset unexplained dilated cardiomyopathy,"[{'name': 'T. Palecek', 'affiliation': 'V\x9aeobecná Fakultní Nemocnice V Praze, Prague, Czech Republic'}]",10.1007/s00430-009-0141-6,2010,30,Article,,,,,1
116,Neurocritical Care,Infectious vasculopathy of intracranial large- And medium-sized vessels in neurological intensive care unit: A clinico-radiological study,"[{'name': 'J. Katchanov', 'affiliation': 'Charité – Universitätsmedizin Berlin, Berlin, Germany'}]",10.1007/s12028-010-9335-4,2010,29,Article,,,,,1
117,Veterinary Parasitology,"Prevalence of Dirofilaria immitis, Ehrlichia canis, and Borrelia burgdorferi in pet dogs, racing greyhounds, and shelter dogs in Florida","[{'name': 'N. Tzipory', 'affiliation': 'University of Florida, Gainesville, United States'}]",10.1016/j.vetpar.2010.03.016,2010,29,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S0304401710001731,,,1
119,Acta Veterinaria Scandinavica,Seroprevalence of Borrelia burgdorferi sensu lato and Anaplasma phagocytophilum in Danish horses,"[{'name': 'M. Hansen', 'affiliation': 'University of Copenhagen, Faculty of Life Sciences, Copenhagen, Denmark'}]",10.1186/1751-0147-52-3,2010,29,Article,,,,,1
120,Infection and Immunity,Functional characterization of Borrelia spielmanii outer surface proteins that interact with distinct members of the human factor H protein family and with plasminogen,"[{'name': 'A. Seling', 'affiliation': 'Universitätsklinikum Frankfurt, Frankfurt am Main, Germany'}]",10.1128/IAI.00691-09,2010,29,Article,,,,,1
121,Applied and Environmental Microbiology,Elimination of lyme disease spirochetes from ticks feeding on domestic ruminants,"[{'name': 'D. Richter', 'affiliation': 'Charité – Universitätsmedizin Berlin, Berlin, Germany'}]",10.1128/AEM.01649-10,2010,28,Article,,,,,1
122,Acta Veterinaria Scandinavica,Borrelia burgdorferi sensu lato in Ixodes ricinus ticks collected from migratory birds in Southern Norway,"[{'name': 'V. Kjelland', 'affiliation': 'University of Agder, Kristiansand, Norway'}]",10.1186/1751-0147-52-59,2010,27,Article,,,,,1
123,PLoS ONE,Persistence of pathogens with short infectious periods in seasonal tick populations: The relative importance of three transmission routes,"[{'name': 'E. Nonaka', 'affiliation': 'The University of New Mexico, Albuquerque, United States'}]",10.1371/journal.pone.0011745,2010,27,Article,,,,,1
124,Clinical and Vaccine Immunology,Humoral immune responses in patients with lyme neuroborreliosis,"[{'name': 'T. Cerar', 'affiliation': 'Univerza v Ljubljani Medicinska Fakulteta, Ljubljana, Slovenia'}]",10.1128/CVI.00341-09,2010,27,Article,,,,,1
126,PLoS ONE,Outer surface protein c is a dissemination-facilitating factor of borrelia burgdorferi during mammalian infection,"[{'name': 'S. Seemanapalli', 'affiliation': 'Louisiana State University, Baton Rouge, United States'}]",10.1371/journal.pone.0015830,2010,26,Article,,,,,1
127,PLoS ONE,Proteome analysis of Borrelia burgdorferi response to environmental change,"[{'name': 'T. Angel', 'affiliation': 'Pacific Northwest National Laboratory, Richland, United States'}]",10.1371/journal.pone.0013800,2010,26,Article,,,,,1
128,"Infection, Genetics and Evolution","Wahlund effects and sex-biased dispersal in Ixodes ricinus, the European vector of Lyme borreliosis: New tools for old data","[{'name': 'F. Kempf', 'affiliation': 'IRD Centre de Montpellier, Montpellier, France'}]",10.1016/j.meegid.2010.06.003,2010,26,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S156713481000167X,,,1
130,Medical and Veterinary Entomology,Established and emerging pathogens in Ixodes ricinus ticks collected from birds on a conservation island in the Baltic Sea,"[{'name': 'J. Franke', 'affiliation': 'Friedrich-Schiller-Universität Jena, Jena, Germany'}]",10.1111/j.1365-2915.2010.00905.x,2010,25,Article,,,,,1
132,Clinical Neurology and Neurosurgery,Rare infections mimicking MS,"[{'name': 'V. Brinar', 'affiliation': 'University of Zagreb School of Medicine, Zagreb, Croatia'}]",10.1016/j.clineuro.2010.04.011,2010,25,Article,,https://api.elsevier.com/content/article/eid/1-s2.0-S0303846710001137,,,1
133,Infection and Immunity,"The lyme disease spirochete Borrelia burgdorferi utilizes multiple ligands, including RNA, for interferon regulatory factor 3-dependent induction of type I interferon-responsive genes","[{'name': 'J.C. Miller', 'affiliation': 'The University of Utah, Salt Lake City, United States'}]",10.1128/IAI.01070-09,2010,25,Article,,,,,1
134,European Journal of Clinical Microbiology and Infectious Diseases,"Risk of acquiring tick-borne infections in forestry workers from Lazio, Italy","[{'name': 'S. Di Renzi', 'affiliation': 'Istituto Superiore per la Prevenzione e Sicurezza Del Lavoro, Monte Porzio Catone, Italy'}]",10.1007/s10096-010-1028-6,2010,24,Article,,,,,1
135,Chromosome Research,"Genome organization of major tandem repeats in the hard tick, Ixodes scapularis","[{'name': 'J.M. Meyer', 'affiliation': 'Purdue University, West Lafayette, United States'}]",10.1007/s10577-010-9120-4,2010,24,Article,,,,,1
136,Interdisciplinary Perspectives on Infectious Diseases,Proof that chronic lyme disease exists,"[{'name': 'D. Cameron', 'affiliation': 'Northern Westchester Hospital, Mount Kisco, United States'}]",10.1155/2010/876450,2010,24,Article,,,,,1
137,BMC Biotechnology,Functional genomics tool: Gene silencing in Ixodes scapularis eggs and nymphs by electroporated dsRNA,"[{'name': 'S. Karim', 'affiliation': 'University of Southern Mississippi, Hattiesburg, United States'}]",10.1186/1472-6750-10-1,2010,24,Article,,,,,1
138,Infection and Immunity,Effect of Borrelia burgdorferi OspC at the site of inoculation in mouse skin,"[{'name': 'S. Antonara', 'affiliation': 'Tufts University, Medford, United States'}]",10.1128/IAI.00464-10,2010,23,Article,,,,,1
139,Rheumatology International,"Systemic, secondary and infectious causes for cerebral vasculitis: Clinical experience with 16 new European cases","[{'name': 'M. Kraemer', 'affiliation': 'Alfried Krupp von Bohlen und Halbach Hospital, Essen, Germany'}]",10.1007/s00296-009-1172-4,2010,23,Article,,,,,1
140,APMIS,Persistence of borrelial DNA in the joints of Borrelia burgdorferi-infected mice after ceftriaxone treatment,"[{'name': 'H. YrjÄnÄinen', 'affiliation': 'Turun yliopisto, Turku, Finland'}]",10.1111/j.1600-0463.2010.02615.x,2010,23,Article,,,,,1
142,Journal of Medical Entomology,Trial of a minimal-risk botanical compound to control the vector tick of lyme disease,"[{'name': 'P. Rand', 'affiliation': 'Maine Medical Center, Portland, United States'}]",10.1603/ME09283,2010,23,Article,,,,,1
