,publication,title,authors,doi,year,cites,type,abstract,abstractLength,pubmed,gscholar,crossref,scopus,publicationLanguage,titleLanguage,abstractLanguage
10,ticks and tick-borne diseases,"Time of year and outdoor recreation affect human exposure to ticks in California, United States","['Daniel J. Salkeld', 'W. Tanner Porter', 'Samantha M. Loh', 'Nathan C. Nieto']",10.1016/j.ttbdis.2019.06.004,2019.0,11,journal-article,"Interactions between humans and ticks are often measured indirectly, using surveillance of tick population abundance and pathogen prevalence, or reported human disease data. We used data garnered as part of a free national citizen science research effort to describe actual human exposures to ticks in California. Human-biting ticks (n = 1,905) submitted for identification were predominantly western black-legged ticks ( Ixodes pacificus ) (68%), American dog ticks ( Dermacentor variabilis ) (24%), and Pacific Coast ticks ( Dermacentor occidentalis ) (7%). Tick exposure occurred predominantly during recreational use of the outdoors, rather than exposure near the home environment. Tick submissions peaked in May, but human exposure to ticks occurred throughout the year. Adult I. pacificus were most frequently found on humans during March-May, though previous research demonstrates that questing adults on vegetation are more abundant earlier in the winter.",963,0,0,1,0,en,en,
11,ticks and tick-borne diseases,"Public health and patient safety concerns merit retention of Lyme borreliosis-associated spirochetes within the genus Borrelia, and rejection of the genus novum Borreliella","['Brian Stevenson', 'Volker Fingerle', 'Gary P. Wormser', 'Gabriele Margos']",10.1016/j.ttbdis.2018.08.010,2019.0,13,journal-article,No abstract found,17,0,0,1,0,en,en,
12,ticks and tick-borne diseases,Predicting spatiotemporal patterns of Lyme disease incidence from passively collected surveillance data for Borrelia burgdorferi sensu lato-infected Ixodes scapularis ticks,"['Eliza A.H. Little', 'John F. Anderson', 'Kirby C. Stafford', 'Lars Eisen', 'Rebecca J. Eisen', 'Goudarz Molaei']",10.1016/j.ttbdis.2019.04.010,2019.0,12,journal-article,"Lyme disease is the most prevalent vector-borne disease in the United States. Ixodes scapularis , commonly referred to as the blacklegged tick, is the primary vector of Lyme disease spirochetes, Borrelia burgdorferi sensu lato (s.l.), in the eastern United States. Connecticut has pervasive populations of I. scapularis and remains a hotspot for Lyme disease. A primary aim of this study was to determine if passively collected data on human-biting I. scapularis ticks in Connecticut could serve as a useful proxy for Lyme disease incidence based on the cases reported by the Connecticut Department of Public Health (CDPH). Data for human-biting I. scapularis ticks submitted to the Tick Testing Laboratory at the Connecticut Agricultural Experiment Station (CAES-TTL), and tested for infection with B. burgdorferi s.l., were used to estimate the rate of submitted nymphs, nymphal infection prevalence, and the rate of submitted infected nymphs. We assessed spatiotemporal patterns in tick-based measures and Lyme disease incidence with generalized linear and spatial models. In conjunction with land cover and household income data, we used generalized linear mixed effects models to examine the association between tick-based risk estimates and Lyme disease incidence. Between 2007 and 2017, the CAES-TTL received 26,116 I. scapularis tick submissions and the CDPH reported 23,423 Lyme disease cases. The rate of submitted nymphs, nymphal infection prevalence, the rate of submitted infected nymphs, and Lyme disease incidence all decreased over time during this eleven-year period. The rate of submitted nymphs, the rate of submitted infected nymphs, and Lyme disease incidence were spatially correlated, but nymphal infection prevalence was not. Using a mixed modeling approach to predict Lyme disease incidence and account for spatiotemporal structuring of the data, we found the best fitting tested model included a strong, positive association with the rate of submitted infected nymphs and a negative association with the percent of developed land for each county. We show that within counties, submissions of B. burgdorferi s.l. infected nymphs were strongly and positively associated with inter-annual variation in reported Lyme disease cases. Tick-based passive surveillance programs may be useful in providing independent measures of entomological risk, particularly in settings where Lyme disease case reporting practices change substantially over time.",2466,0,0,1,0,en,en,
13,ticks and tick-borne diseases,Nymphal Ixodes scapularis questing behavior explains geographic variation in Lyme borreliosis risk in the eastern United States,"['Isis Arsnoe', 'Jean I. Tsao', 'Graham J. Hickling']",10.1016/j.ttbdis.2019.01.001,2019.0,27,journal-article,"Most people who contract Lyme borreliosis in the eastern United States (US) acquire infection from the bite of the nymphal life stage of the vector tick Ixodes scapularis , which is present in all eastern states. Yet <5% of Lyme borreliosis cases are reported from outside the north-central and northeastern US. Geographical differences in nymphal questing (i.e., host-seeking behavior) may be epidemiologically important in explaining this latitudinal gradient in Lyme borreliosis incidence. Using field enclosures and a ‘common garden’ experimental design at two field sites, we directly tested this hypothesis by observing above-litter questing of laboratory-raised nymphal I. scapularis whose parents were collected from 15 locations (= origins) across the species' range. Relative to southern nymphs from origins considered to be of low acarologic risk, northern nymphs from high-risk origins were eight times as likely to quest on or above the surface of the leaf litter. This regional variation in vector behavior (specifically, the propensity of southern nymphs to remain under leaf litter) was highly correlated with Lyme borreliosis incidence in nymphs’ counties of origin. We conclude that nymphal host-seeking behavior is a key factor contributing to the low incidence of Lyme borreliosis in southern states. Expansion of northern I. scapularis populations could lead to increased incidence in southern states of Lyme borreliosis and other diseases vectored by this tick, if the ‘northern’ host-seeking behavior of immigrant nymphs is retained. Systematic surveillance for I. scapularis nymphs questing above the leaf litter in southern states will help predict future geographic change in I. scapularis -borne disease risk.",1736,0,0,1,0,en,en,
14,ticks and tick-borne diseases,Borrelia burgdorferi chemotaxis toward tick protein Salp12 contributes to acquisition,"['Kristen E. Murfin', 'Ruby Kleinbard', 'Merve Aydin', 'Samuel A. Salazar', 'Erol Fikrig']",10.1016/j.ttbdis.2019.06.002,2019.0,9,journal-article,"Lyme disease is a common tick-borne infection caused by the spirochete Borrelia burgdorferi sensu stricto (s.s.). B. burgdorferi s.s. may utilize chemotaxis, the directional migration towards or away from a chemical stimulus, for transmission, acquisition, and infection. However, the specific signals recognized by the spirochete for these events have not been defined. In this study, we identify an Ixodes scapularis salivary gland protein, Salp12, that is a chemoattractant for the spirochete. We demonstrate that Salp12 is expressed in the I. scapularis salivary glands and midgut and expression is not impacted by B. burgdorferi s.s. infection. Knockdown of Salp12 in the salivary glands or passive immunization against Salp12 reduces acquisition of the spirochete by ticks but acquisition is not completely prevented. Knockdown does not impact transmission of B. burgdorferi s.s. This work suggests a new role for chemotaxis in acquisition of the spirochete and suggests that recognition of Salp12 contributes to this phenomenon.",1035,0,0,1,0,en,en,
15,ticks and tick-borne diseases,"Lyme borreliosis incidence in Lombardy, Italy (2000–2015): Spatiotemporal analysis and environmental risk factors","['Sergio A. Zanzani', 'Sara G. Rimoldi', 'MariaTeresa Manfredi', 'Romualdo Grande', 'Alessia L. Gazzonis', 'Stefania Merli', 'Emanuela Olivieri', 'Vania Giacomet', 'Spinello Antinori', 'Giuliana Cislaghi', 'Giovanna Bestetti', 'Katiuscia Nan', 'Vittorio Sala', 'Maria R. Gismondo', 'Chiara Atzori', 'Eleonora De Faveri']",10.1016/j.ttbdis.2019.07.001,2019.0,8,journal-article,"Lyme borreliosis cases have been reported from Lombardy in northern Italy, where Ixodes ricinus is the main vector of Borrelia burgdorferi sensu lato. However, spatial and temporal variation in the incidence of Lyme borreliosis is not well understood. In the present study, based on new notified cases of Lyme borreliosis from 2000 to 2015, an average of 1.24 new cases per million residents per year was documented. New cases, georeferenced at the municipal level, were analyzed by retrospective space-time analysis (using SaTScan v. 9.3.1); and land cover, extrapolated from a Corine Land Cover dataset (using QGIS 2.8.1), was used to implement an environmental risk factor analysis. Firstly, a temporal high-risk cluster was detected in Lombardy: the relative risk of Lyme borreliosis was 3.73 times higher during 2008–2015 compared with the entire study period. Moreover, in a spatiotemporal high-risk cluster with a circular base, land cover consisting of wildland-urban interface, meadow, forest and meadow-forest transition were significantly higher compared to low-risk areas. Results of the present study demonstrate that the incidence of Lyme borreliosis is increasing in Lombardy and that environmental conditions are suitable for I. ricinus ticks infected with B. burgdorferi s.l.: citizens and health systems should be aware of Lyme borreliosis to reduce tick bites with personal protective behaviors and to avoid misdiagnosis, particularly within the area including the observed high-risk cluster. Economic resources should be invested to inform about methods to prevent tick bites, how to check people and pets after frequenting risk areas, and ways of removing the biting ticks when they are found.",1714,0,0,1,0,en,en,
16,ticks and tick-borne diseases,Mononeuritis multiplex secondary to Lyme neuroborreliosis,"['Chinar Osman', 'Liam S. Carroll', 'Christina Petridou', 'Mark Walker', 'Louis W. Merton', 'Haider Katifi']",10.1016/j.ttbdis.2020.101545,2020.0,1,journal-article,Lyme neuroborreliosis (LNB) typically presents as a painful radiculitis or a cranial mononeuropathy with lymphocytic meningitis (Bannwarth’s syndrome). Isolated peripheral mononeuropathy or multiple mononeuropathy is less frequently recognised. A 58-year-old female with a background of IgA nephropathy and chronic kidney disease presented with a painful left ulnar neuropathy followed within 3 months by superficial radial neuropathy. Initial serum and cerebrospinal fluid (CSF) analysis were unremarkable; nerve conduction study was in keeping with a mononeuritis multiplex. A superficial radial nerve biopsy demonstrated inflammation with axonal injury consistent with a pathologically possible vasculitis. Borrelia antibodies were identified using enzyme-linked immunosorbent assay and immunoblot in serum consistent with active recent Lyme borreliosis. A 6-week course of doxycycline was initiated with gradual resolution of pain and improved power. A repeat nerve conduction study demonstrated improvement in sensory and motor responses. This case report identifies a peripheral nerve syndrome of a mononeuritis multiplex secondary to LNB in the absence of CSF pleocytosis with excellent outcome following antibiotic treatment. Peripheral nervous system manifestations of Lyme borreliosis can mimic a vasculitic neuropathy and therefore should be considered in individuals presenting with a painful mononeuritis multiplex.,1428,0,0,1,0,en,it,
17,ticks and tick-borne diseases,Lyme neuroborreliosis in adults: A nationwide prospective cohort study,"['Cecilie Lerche Nordberg', 'Jacob Bodilsen', 'Fredrikke Christie Knudtzen', 'Merete Storgaard', 'Christian Brandt', 'Lothar Wiese', 'Birgitte Rønde Hansen', 'Åse Bengård Andersen', 'Henrik Nielsen', 'Anne-Mette Lebech']",10.1016/j.ttbdis.2020.101411,2020.0,4,journal-article,"The goal of this paper is to characterize the clinical presentation, serological results, current antibiotic treatment practice, including compliance with current European guidelines, and outcome in adults with Lyme neuroborreliosis (LNB) diagnosed at departments of infectious diseases in Denmark. Using a nationwide prospective cohort of patients with central nervous system infections, we identified all adults (≥ 18 years of age) treated for LNB at departments of infectious diseases in Denmark from 2015 through 2017. The database contains information on baseline demographics, history of tick bite, erythema migrans, clinical presentation, laboratory results of blood samples, and cerebrospinal (CSF) biochemistry ( e.g. specific Borrelia burgdorferi sensu lato (s.l.) antibodies in serum, B. burgdorferi s.l. intrathecal antibody index) as well as antibiotic therapy. Outcome was assessed by the Glasgow Outcome Scale (GOS) and the presence of residual symptoms at follow-up one month after discharge. We included 194 LNB patients with a median age of 59 years (range 18–85 years, interquartile range [IQR] 47–69 years). The female-to-male ratio was 0.8. A total of 177 of 191 (93 %) of patients had early (second stage) LNB. A history of tick bite or erythema migrans was registered in 75 (39 %) and 49 (25 %) patients, respectively. The median duration of neurological symptoms before first hospital contact was 21 days (range 0–600 days, IQR 10–42 days). Predominant symptoms consisted of radicular pain in 135 of 194 (70 %), cranial nerve paresis in 88 of 194 (45 %), headache in 71 of 185 (38 %), and extremity paresis in 33 of 194 (17 %) patients. Serum- B. burgdorferi s.l. IgM and/or IgG antibodies were detectable in 166 of 181 (92 %) patients at the time of first CSF investigation. Median duration of antibiotic treatment was 14 days (range 10–35 days, IQR 14–21 days) and 59 (39 %) of the patients received intravenous ceftriaxone and/or benzylpenicillin G throughout treatment. At the 1-month follow-up, GOS was unfavorable (< 5) in 54 of 193 (28 %) patients. An unfavorable GOS score was more often registered in patients with ≥ 45 days of symptom duration (20 of 45 (44 %) vs. 34 of 145 (23 %); P = 0.006). In conclusion, a European cohort of adult patients with LNB diagnosed between 2015–2017 presented with classic symptoms and CSF findings. However, a substantial diagnostic delay was still observed. In disagreement with current guidelines, a substantial part of LNB patients were treated with antibiotics longer than 14 days and/or intravenously as route of administration.",2601,0,0,1,0,en,en,
18,ticks and tick-borne diseases,"Changes in Lyme neuroborreliosis incidence in Denmark, 1996 to 2015","['Malte M. Tetens', 'Rasmus Haahr', 'Ram B. Dessau', 'Karen A. Krogfelt', 'Jacob Bodilsen', 'Nanna S. Andersen', 'Jens K. Møller', 'Casper Roed', 'Claus B. Christiansen', 'Svend Ellermann-Eriksen', 'Jette M. Bangsborg', 'Klaus Hansen', 'Thomas L. Benfield', 'Christian Østergaard Andersen', 'Niels Obel', 'Lars H. Omland', 'Anne-Mette Lebech']",10.1016/j.ttbdis.2020.101549,2020.0,1,journal-article,"Lyme neuroborreliosis (LNB) has recently been added to the list of diseases under the European Union epidemiological surveillance in order to obtain updated information on incidence. The goal of this study was to identify temporal (yearly) variation, high risk geographical regions and risk groups, and seasonal variation for LNB in Denmark. This cohort-study investigated Danish patients (n = 2791) diagnosed with LNB (defined as a positive Borrelia burgdorferi sensu lato (s.l.) intrathecal antibody test) between 1996–2015. We calculated incidence and incidence ratios of LNB by comparing 4-yr groups of calendar-years, area of residency, sex and age, income and education groups, and the number of new LNB cases per month. The incidence of LNB was 2.2 per 100,000 individuals and year in 1996−1999, 2.7 in 2004−2007 and 1.1 per 100,000 individuals in 2012−2015. Yearly variations in LNB incidence were similar for most calendar-year groups. LNB incidence was highest in Eastern Denmark and among males and individuals who were 0–14 yrs old, who had a yearly income of >449,000 DKK, and who had a Master’s degree or higher education. The number of LNB cases was highest from July to November (p < 0.001). In conclusion, based on Danish nationwide data of patients with positive B. burgdorferi s.l. intrathecal antibody index (1996–2015) the incidence of LNB was found to increase until 2004−2007 but thereafter to decline. European surveillance studies of Lyme borreliosis should be encouraged to monitor the incidence trend.",1528,0,0,1,0,en,en,
19,ticks and tick-borne diseases,"Cytokines and chemokines in cerebrospinal fluid in relation to diagnosis, clinical presentation and recovery in children being evaluated for Lyme neuroborreliosis","['Barbro H Skogman', 'Malin Lager', 'Lars Brudin', 'Maria C Jenmalm', 'Ivar Tjernberg', 'Anna J Henningsson']",10.1016/j.ttbdis.2020.101390,2020.0,4,journal-article,"In Lyme neuroborrelios (LNB), the immune response has been in focus, but the association between different cytokines/chemokines and clinical manifestations in LNB patients has not been fully investigated. The aim of this study was to evaluate a large number of cytokines and chemokines in cerebrospinal fluid (CSF) in relation to diagnosis, clinical presentation and recovery in children being evaluated for LNB.",412,0,0,1,0,en,en,
20,ticks and tick-borne diseases,Spatio-Temporal Modeling for Confirmed Cases of Lyme Disease in Virginia,"['Naresh Neupane', 'Ari Goldbloom-Helzner', 'Ali Arab']",10.1016/j.ttbdis.2021.101822,2021.0,0,journal-article,"Epidemiological data often include characteristics such as spatial and/or temporal dependencies and excess zero counts, which pose modeling challenges. Excess zeros in such data may arise from imperfect detection and/or relative rareness of the disease in a given location. Here, we studied the spatio-temporal variation in annual Lyme disease cases in Virginia from 2001-2016 and modeled the disease with a spatio-temporal hierarchical Bayesian model. Using observed ecological and environmental covariates, we constructed a predictive model for the disease spread over space and time, including spatial and temporal random effects. We considered several different models and found that the negative binomial hurdle model performs the best for such epidemiological data. Among the various ecological predictors, the North-South (V component) of winds and relative humidity significantly contributed to predicting the Lyme cases. Our model results provide important insights on the spread of the disease in Virginia and the proposed modeling framework offers epidemiologists and health policymakers a useful tool for improving disease preparedness and control plans for the future.",1181,0,0,1,0,en,en,
