,publication,title,authors,doi,year,cites,type,abstract,article_url,fulltext_url,abstractLength,crossref
39,Environmental Microbiology,Host migration impacts on the phylogeography of Lyme Borreliosis spirochaete species in Europe,"['Stephanie A. Vollmer', 'Antra Bormane', 'Ruth E. Dinnis', 'Frederik Seelig', 'Andrew D. M. Dobson', 'David M. Aanensen', 'Marianne C. James', 'Michael Donaghy', 'Sarah E. Randolph', 'Edward J. Feil', 'Klaus Kurtenbach', 'Gabriele Margos']",10.1111/j.1462-2920.2010.02319.x,2010,78,journal-article,,http://dx.doi.org/10.1111/j.1462-2920.2010.02319.x,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1111%2Fj.1462-2920.2010.02319.x,,1
40,The American Journal of Medicine,Post-Lyme Disease Symptoms,['Victoria Cairns'],10.1016/j.amjmed.2010.01.029,2010,1,journal-article,,http://dx.doi.org/10.1016/j.amjmed.2010.01.029,https://api.elsevier.com/content/article/PII:S0002934310003657,,1
41,Journal of the Royal College of Physicians of Edinburgh,Nervous system Lyme disease,['JJ Halperin'],10.4997/jrcpe.2010.314,2010,15,journal-article,,http://dx.doi.org/10.4997/jrcpe.2010.314,,,1
42,hautnah dermatologie,Chronische Lyme-Borreliose: Gibt es die wirklich?,['H. S. Füeßl'],10.1007/bf03357992,2010,0,journal-article,,http://dx.doi.org/10.1007/bf03357992,http://link.springer.com/content/pdf/10.1007/BF03357992,,1
43,AAP Grand Rounds,The Prognosis of Children Treated for Lyme Arthritis,['S. C. Li'],10.1542/gr.24-2-18,2010,0,journal-article,,http://dx.doi.org/10.1542/gr.24-2-18,https://syndication.highwire.org/content/doi/10.1542/gr.24-2-18,,1
44,Clinics in Laboratory Medicine,Lyme Disease,"['Thomas S. Murray', 'Eugene D. Shapiro']",10.1016/j.cll.2010.01.003,2010,61,journal-article,,http://dx.doi.org/10.1016/j.cll.2010.01.003,https://api.elsevier.com/content/article/PII:S0272271210000041,,1
45,Neurologic Clinics,A Tale of Two Spirochetes: Lyme Disease and Syphilis,['John J. Halperin'],10.1016/j.ncl.2009.09.009,2010,11,journal-article,,http://dx.doi.org/10.1016/j.ncl.2009.09.009,https://api.elsevier.com/content/article/PII:S0733861909000656,,1
46,PM&R,Poster 179: Lyme Disease Presenting as Lumbar Radiculopathy: A Case Report,"['Anupam Sinha', 'Madhuri Dholakia']",10.1016/j.pmrj.2010.07.209,2010,0,journal-article,,http://dx.doi.org/10.1016/j.pmrj.2010.07.209,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1016%2Fj.pmrj.2010.07.209,,1
47,kleintier konkret,Die Lyme-Borreliose-Impfung beim Hund – kontrovers diskutiert,"['Reinhard Straubinger', 'Nikola Pantchev']",10.1055/s-0030-1255310,2010,1,journal-article,,http://dx.doi.org/10.1055/s-0030-1255310,http://www.thieme-connect.de/products/ejournals/pdf/10.1055/s-0030-1255310.pdf,,1
48,Infection,Pancytopenia in a patient with Lyme disease,"['V. Babu', 'S. Sukumarannair', 'Z. Saul']",10.1007/s15010-010-0010-7,2010,0,journal-article,,http://dx.doi.org/10.1007/s15010-010-0010-7,http://link.springer.com/content/pdf/10.1007/s15010-010-0010-7.pdf,,1
49,Orvosi Hetilap,Acute atrioventricular block in chronic Lyme disease,"['Vince Wagner', 'Endre Zima', 'László Gellér', 'Béla Merkely']",10.1556/oh.2010.28965,2010,1,journal-article,"A Lyme-kór az egyik leggyakoribb antropozoonosis, a Borrelia kórokozója kullancs csípésével kerül az emberi szervezetbe, Magyarországon évente 10000 friss fertőzést okozva. A Lyme-kór tünetei és lefolyása változatosak, késői formában nemritkán carditist okoz. Esetünkben szerológiailag igazolt borreliosis okozott teljes atrioventricularis blokkot fiatal férfinél, aki praesyncope miatt került intézetünkbe. A blokk hátterében, a közeli kullancscsípésre való tekintettel, Lyme-carditist gyanítottunk, antibiotikum adását és monitoros obszervációt kezdtünk. A betegségre jellemző bőrtünetek nem jelentkeztek, a laborvizsgálat kórosat nem igazolt. Elektrofiziológiai vizsgálattal domináló supra-His atrioventricularis blokkot regisztráltunk. Az obszerváció másnapjától a blokk regressziót mutatott, később teljesen megjavult. Szerológiai vizsgálat egy évnél régebbi borreliosist igazolt. Terápiás ajánlás a potenciálisan reverzíbilis Lyme-carditisben egyelőre nincs. Fiataloknál rizikófaktor nélkül jelentkező ingerületvezetési zavar esetén is célszerű Lyme-carditisre gondolni, segítséget a pontos anamnézis felvétele és megfelelő labordiagnosztika jelenthet, amellyel elkerülhető a pacemakerbeültetés. Orv. Hetil., 2010, 39, 1585–1590.",http://dx.doi.org/10.1556/oh.2010.28965,https://akjournals.com/view/journals/650/151/39/article-p1585.xml,1235.0,1
50,Current Opinion in Rheumatology,Infectious arthritis and immune dysregulation: lessons from Lyme disease,"['Bettina Panagiota Iliopoulou', 'Brigitte T Huber']",10.1097/bor.0b013e328338f73f,2010,8,journal-article,,http://dx.doi.org/10.1097/bor.0b013e328338f73f,https://journals.lww.com/10.1097/BOR.0b013e328338f73f,,1
51,Revue Francophone des Laboratoires,"Lyme en France, préoccupation de santé publique",['Jean-Marie Manus'],10.1016/s1773-035x(10)70572-4,2010,0,journal-article,,http://dx.doi.org/10.1016/s1773-035x(10)70572-4,https://api.elsevier.com/content/article/PII:S1773035X10705724,,1
52,Current Allergy and Asthma Reports,Lyme Disease: A Review,['Adriana R. Marques'],10.1007/s11882-009-0077-3,2010,45,journal-article,,http://dx.doi.org/10.1007/s11882-009-0077-3,http://link.springer.com/content/pdf/10.1007/s11882-009-0077-3.pdf,,1
53,Pediatric Infectious Disease Journal,LYME BORRELIOSIS AND ACUTE PERIPHERAL FACIAL PALSY IN SLOVENIAN CHILDREN,"['Maja Arnež', 'Eva Ružić-Sabljić']",10.1097/inf.0b013e3181bbf28a,2010,6,journal-article,,http://dx.doi.org/10.1097/inf.0b013e3181bbf28a,https://journals.lww.com/10.1097/INF.0b013e3181bbf28a,,1
54,Neurology,ANTIBIOTIC RESPONSIVE DEMYELINATING NEUROPATHY RELATED TO LYME DISEASE,"['Wolfgang Grisold', 'Andrea Vass']",10.1212/wnl.0b013e3181d2b5ba,2010,0,journal-article,,http://dx.doi.org/10.1212/wnl.0b013e3181d2b5ba,https://syndication.highwire.org/content/doi/10.1212/WNL.0b013e3181d2b5ba,,1
55,The American Journal of Medicine,Subjective Symptoms after Treatment of Lyme Disease,['Sam T. Donta'],10.1016/j.amjmed.2010.02.020,2010,0,journal-article,,http://dx.doi.org/10.1016/j.amjmed.2010.02.020,https://api.elsevier.com/content/article/PII:S0002934310003608,,1
56,International Journal of Infectious Diseases,Maternal Lyme borreliosis and pregnancy outcome,"['András Lakos', 'Norbert Solymosi']",10.1016/j.ijid.2009.07.019,2010,40,journal-article,,http://dx.doi.org/10.1016/j.ijid.2009.07.019,https://api.elsevier.com/content/article/PII:S1201971209003312,,1
57,Infection,Acute transverse myelitis in Lyme neuroborreliosis,"['S. Bigi', 'C. Aebi', 'C. Nauer', 'S. Bigler', 'M. Steinlin']",10.1007/s15010-010-0028-x,2010,30,journal-article,,http://dx.doi.org/10.1007/s15010-010-0028-x,http://link.springer.com/content/pdf/10.1007/s15010-010-0028-x.pdf,,1
58,Somnologie - Schlafforschung und Schlafmedizin,Lyme borreliosis presenting as hypersomnia,"['M.A. Dalal', 'R. Wehrle', 'P.A. Beitinger', 'T.C. Wetter']",10.1007/s11818-010-0455-z,2010,1,journal-article,,http://dx.doi.org/10.1007/s11818-010-0455-z,http://link.springer.com/content/pdf/10.1007/s11818-010-0455-z.pdf,,1
59,PM&R,Poster 250: Guillain-Barré Syndrome in the Setting of Acute CNS Lyme Disease: A Case Report,['Chad Stadsvold'],10.1016/j.pmrj.2010.07.283,2010,3,journal-article,,http://dx.doi.org/10.1016/j.pmrj.2010.07.283,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1016%2Fj.pmrj.2010.07.283,,1
60,Nature Reviews Rheumatology,A case revealing the natural history of untreated Lyme disease,['Robert T. Schoen'],10.1038/nrrheum.2010.209,2010,7,journal-article,,http://dx.doi.org/10.1038/nrrheum.2010.209,http://www.nature.com/articles/nrrheum.2010.209.pdf,,1
61,Interdisciplinary Perspectives on Infectious Diseases,Proof That Chronic Lyme Disease Exists,['Daniel J. Cameron'],10.1155/2010/876450,2010,16,journal-article,"The evidence continues to mount that Chronic Lyme Disease (CLD) exists and must be addressed by the medical community if solutions are to be found. Four National Institutes of Health (NIH) trials validated the existence and severity of CLD. Despite the evidence, there are physicians who continue to deny the existence and severity of CLD, which can hinder efforts to find a solution. Recognizing CLD could facilitate efforts to avoid diagnostic delays of two years and durations of illness of 4.7 to 9 years described in the NIH trials. The risk to society of emerging antibiotic-resistant organisms should be weighed against the societal risks associated with failing to treat an emerging population saddled with CLD. The mixed long-term outcome in children could also be examined. Once we accept the evidence that CLD exists, the medical community should be able to find solutions. Medical professionals should be encouraged to examine whether: (1) innovative treatments for early LD might prevent CLD, (2) early diagnosis of CLD might result in better treatment outcomes, and (3) more effective treatment regimens can be developed for CLD patients who have had prolonged illness and an associated poor quality of life.",http://dx.doi.org/10.1155/2010/876450,http://downloads.hindawi.com/journals/ipid/2010/876450.pdf,1222.0,1
62,Anais Brasileiros de Dermatologia,Borreliose de Lyme,"['Mônica Santos', 'Vidal Haddad Júnior', 'Rodrigo Ribeiro-Rodrigues', 'Sinésio Talhari']",10.1590/s0365-05962010000600029,2010,12,journal-article,"As borrelioses constituem um grupo de doenças infecciosas causadas por espiroquetas do gênero Borrelia. A borreliose de Lyme, também denominada doença de Lyme, é uma doença infecciosa, não contagiosa, causada por espiroquetas pertencentes ao complexo Borrelia burgdorferi Sensu Lato e transmitida, mais frequentemente, por picada de carrapatos do gênero Ixodes. A doença apresenta quadro clínico variado, podendo desencadear manifestações cutâneas, articulares, neurológicas e cardíacas.",http://dx.doi.org/10.1590/s0365-05962010000600029,http://www.scielo.br/pdf/abd/v85n6/v85n6a29.pdf,487.0,1
63,International Journal of Emergency Medicine,Early recognition and management of Lyme carditis,['Pholaphat Charles Inboriboon'],10.1007/s12245-010-0183-y,2010,0,journal-article,,http://dx.doi.org/10.1007/s12245-010-0183-y,https://link.springer.com/content/pdf/10.1007/s12245-010-0183-y.pdf,,1
64,Clinical Infectious Diseases,A Commentary on the Treatment of Early Lyme Disease,['Raymond\xa0J. Dattwyler'],10.1086/649921,2010,5,journal-article,,http://dx.doi.org/10.1086/649921,http://academic.oup.com/cid/article-pdf/50/4/521/1007072/50-4-521.pdf,,1
65,Environmental Health Perspectives,Tracking the Deer Tick: Emerging Lyme Disease Threat in Canada,['Tanya Tillett'],10.1289/ehp.118-a305a,2010,0,journal-article,,http://dx.doi.org/10.1289/ehp.118-a305a,http://ehp.niehs.nih.gov/118-a305a,,1
66,The FASEB Journal,Chronic Lyme disease: in defense of the scientific enterprise,['Phillip J. Baker'],10.1096/fj.10-167247,2010,6,journal-article,,http://dx.doi.org/10.1096/fj.10-167247,https://onlinelibrary.wiley.com/doi/pdf/10.1096/fj.10-167247,,1
67,BMC Neurology,Neuroinflammation in Lyme neuroborreliosis affects amyloid metabolism,"['Niklas Mattsson', 'Daniel Bremell', 'Rolf Anckarsäter', 'Kaj Blennow', 'Henrik Anckarsäter', 'Henrik Zetterberg', 'Lars Hagberg']",10.1186/1471-2377-10-51,2010,35,journal-article,,http://dx.doi.org/10.1186/1471-2377-10-51,http://link.springer.com/content/pdf/10.1186/1471-2377-10-51.pdf,,1
68,Journal of the Neurological Sciences,Do we need to broaden the spectrum of Lyme neuroborreliosis?,['Andrew R. Pachner'],10.1016/j.jns.2010.05.007,2010,1,journal-article,,http://dx.doi.org/10.1016/j.jns.2010.05.007,https://api.elsevier.com/content/article/PII:S0022510X1000208X,,1
69,Neurobiology of Disease,Inflammation and central nervous system Lyme disease,"['Brian A. Fallon', 'Elizabeth S. Levin', 'Pernilla J. Schweitzer', 'David Hardesty']",10.1016/j.nbd.2009.11.016,2010,49,journal-article,,http://dx.doi.org/10.1016/j.nbd.2009.11.016,https://api.elsevier.com/content/article/PII:S0969996109003386,,1
70,The American Journal of Medicine,Persistent Symptoms Following Treatment of Early Lyme Disease: False Hope?,"['Raphael B. Stricker', 'Lorraine Johnson']",10.1016/j.amjmed.2010.02.023,2010,1,journal-article,,http://dx.doi.org/10.1016/j.amjmed.2010.02.023,https://api.elsevier.com/content/article/PII:S0002934310003645,,1
71,Neuro-Ophthalmology,Ischaemic Optic Neuropathy in Lyme Disease,"['Emilie Tournaire', 'Marie-Noëlle Delyfer', 'Jean-François Korobelnik', 'Marie-Bénédicte Rougier']",10.3109/01658101003687294,2010,0,journal-article,,http://dx.doi.org/10.3109/01658101003687294,http://www.tandfonline.com/doi/pdf/10.3109/01658101003687294,,1
72,Expert Review of Anti-infective Therapy,Lyme neuroborreliosis in children,"['David Tuerlinckx', 'Youri Glupczynski']",10.1586/eri.10.15,2010,8,journal-article,,http://dx.doi.org/10.1586/eri.10.15,http://www.tandfonline.com/doi/pdf/10.1586/eri.10.15,,1
73,The Journal of the Royal College of Physicians of Edinburgh,Lyme carditis: a reversible cause of complete atrioventricular block,"['IS Bhattacharya', 'M Dweck', 'Francis']",10.4997/jrcpe.2010.207,2010,4,journal-article,,http://dx.doi.org/10.4997/jrcpe.2010.207,,,1
74,The Journal of Pediatrics,Chronic Lyme Disease: A Survey of Connecticut Primary Care Physicians,"['Michael Johnson', 'Henry M. Feder']",10.1016/j.jpeds.2010.06.031,2010,15,journal-article,,http://dx.doi.org/10.1016/j.jpeds.2010.06.031,https://api.elsevier.com/content/article/PII:S0022347610005226,,1
75,Midland History,"The Adoption of Brick in Urban Staffordshire: The Experience of Newcastle-under-Lyme, 1665–1760",['Mike Kingman'],10.1179/004772910x12629513108930,2010,2,journal-article,,http://dx.doi.org/10.1179/004772910x12629513108930,http://www.tandfonline.com/doi/pdf/10.1179/004772910X12629513108930,,1
76,Geospatial health,The utility of “Google Trends” for epidemiological research: Lyme disease as an example,"['Ari Seifter', 'Alison Schwarzwalder', 'Kate Geis', 'John Aucott']",10.4081/gh.2010.195,2010,133,journal-article,,http://dx.doi.org/10.4081/gh.2010.195,http://geospatialhealth.net/index.php/gh/article/viewFile/195/195,,1
77,InnovAiT: Education and inspiration for general practice,Case Study: Lyme Disease as a Cause of Facial Palsy,['Naomi Jeffery'],10.1093/innovait/inp169,2010,0,journal-article,,http://dx.doi.org/10.1093/innovait/inp169,http://journals.sagepub.com/doi/pdf/10.1093/innovait/inp169,,1
78,The American Journal of Medicine,Looking Back at Lyme Carditis,"['Jaime A. Hernández-Montfort', 'May Awkal', 'José A. Martagón-Villamil']",10.1016/j.amjmed.2009.10.015,2010,1,journal-article,,http://dx.doi.org/10.1016/j.amjmed.2009.10.015,https://api.elsevier.com/content/article/PII:S000293431000077X,,1
79,Ecology,"Community ecology and disease risk: lizards, squirrels, and the Lyme disease spirochete in California, USA","['Daniel J. Salkeld', 'Robert S. Lane']",10.1890/08-2106.1,2010,59,journal-article,,http://dx.doi.org/10.1890/08-2106.1,https://api.wiley.com/onlinelibrary/tdm/v1/articles/10.1890%2F08-2106.1,,1
80,BMC Infectious Diseases,Mapping of hormones and cortisol responses in patients after Lyme neuroborreliosis,"['Ivar Tjernberg', 'Martin Carlsson', 'Jan Ernerudh', 'Ingvar Eliasson', 'Pia Forsberg']",10.1186/1471-2334-10-20,2010,4,journal-article,,http://dx.doi.org/10.1186/1471-2334-10-20,http://link.springer.com/content/pdf/10.1186/1471-2334-10-20.pdf,,1
81,Das Gesundheitswesen,Surveillance der Lyme-Borreliose in Deutschland. Analyse der Daten aus den östlichen Bundesländern der Jahre 2007 bis 2009,"['C Adlhoch', 'G Poggensee']",10.1055/s-0030-1266653,2010,0,journal-article,,http://dx.doi.org/10.1055/s-0030-1266653,http://www.thieme-connect.de/DOI/DOI?10.1055/s-0030-1266653,,1
82,Cytokine,PS3-58 Comprehensive Borrelia burgdorferi specific inflammatory immune response analysis in patients with Lyme disease,"['Pranay D. Khare', 'Meenakshi Khare', 'Gottfried H. Kellermann']",10.1016/j.cyto.2010.07.397,2010,0,journal-article,,http://dx.doi.org/10.1016/j.cyto.2010.07.397,https://api.elsevier.com/content/article/PII:S104346661000596X,,1
83,Molecular Immunology,Binding of the complement inhibitor C4b-binding protein to Lyme disease borreliae,"['Johanna Pietikäinen', 'Taru Meri', 'Anna M. Blom', 'Seppo Meri']",10.1016/j.molimm.2009.11.028,2010,44,journal-article,,http://dx.doi.org/10.1016/j.molimm.2009.11.028,https://api.elsevier.com/content/article/PII:S0161589009008554,,1
85,Geodiversitas,A Plesiosaur Specimen from the Lias of Lyme Regis: The Second Ever Discovered Plesiosaur by Mary Anning,"['Peggy Vincent', 'Philippe Taquet']",10.5252/g2010n3a1,2010,4,journal-article,,http://dx.doi.org/10.5252/g2010n3a1,,,1
86,Clinical Infectious Diseases,Long‐Term Outcomes in Patients with Early Lyme Disease: More False Hope?,"['Raphael\xa0B. Stricker', 'Lorraine Johnson']",10.1086/653005,2010,0,journal-article,,http://dx.doi.org/10.1086/653005,http://academic.oup.com/cid/article-pdf/50/12/1683/868657/50-12-1683a.pdf,,1
87,Journal of the American Academy of Physician Assistants,On target with vector-borne infections: Understanding Lyme disease,['Danielle Kruger'],10.1097/01720610-201005000-00009,2010,0,journal-article,,http://dx.doi.org/10.1097/01720610-201005000-00009,https://journals.lww.com/10.1097/01720610-201005000-00009,,1
88,Clinical Research in Cardiology,Complete AV block in Lyme carditis: an important differential diagnosis,"['D. Semmler', 'R. Blank', 'H.- J. Rupprecht']",10.1007/s00392-010-0152-8,2010,11,journal-article,,http://dx.doi.org/10.1007/s00392-010-0152-8,http://link.springer.com/content/pdf/10.1007/s00392-010-0152-8.pdf,,1
89,Medical review,Lyme borreliosis: Diagnostic difficulties in interpreting serological results,"['Olgica Gajovic', 'Zoran Todorovic', 'Ljiljana Nesic', 'Zorica Lazic']",10.2298/mpns1012839g,2010,4,journal-article,"Introduction. Lyme borreliosis is a multi-systemic disease caused by spirochete Borrelia burgdorferi sensu lato. The specific response is influenced by phenotypic characteristics of Borrelia, different antigen structure, their different geographic distribution, and the patient?s capability to react to the infection. The immune response to Borrelia burgdorferi sensu lato develops relatively late, whereas in some patients it never develops. The immune response in the early phase of Lyme borreliosis is very similar to the one of healthy population. Diagnosis of borrelia. Clinical manifestation, detailed anamnesis and epidemiological data are crucial for making the diagnosis. The majority of patients in the late phase of Lyme borreliosis have IgG antibody response, which could be followed by IgM also throughout this period of time. The number of serologically positive findings increases with the duration of the infection. Specific borrelial antigens can be detected by a Western blot test. In patients with neuroborreliosis, antibodies could be synthesized only intrathecally. IgG and IgM antibody response can persist for many years after the treatment. There is no positive serological test, which could be the indicator of the disease activity on its own; even if it demonstrates high antibody titre. If there are no clinical signs of Lyme borreliosis, the diagnosis of Lyme borreliosis should be primarily based on clinical findings, and serological results should be used only to confirm but not to make the diagnosis of Lyme borreliosis. Specific antibodies from the IgM class can be proved in about 50% of patients, 2 to 4 weeks after the onset of primary infection, but an early administration of the antibiotics can postpone or inhibit that response. Interpretation of serological results. When interpreting the serological test results with high level of sensitivity and specificity used for making diagnosis of lyme borreliosis, it is necessary to take into consideration the seroprevalence in a certain region. In the population with a low prevalence of the disease, the tests will have a low positive predicative value, i.e. the probability of indicating the real disease will be lower. According to the recommendations given by the Centre for Disease Control in North America, all extreme and positive results of EA and IFA are to be confirmed by a Western blot test. Diagnostic problems. The main problem in making diagnosis of lyme borreliosis is underestimation and overrating of the diagnosis. Not a single positive serologic test is the indicator of the disease activity on its own, regardless of the antibodies titre level, when clear clinical signs are scarce. <br><br><font color=""red""><b> This article has been retracted. Link to the retraction <u><a href=""http://dx.doi.org/10.2298/MPNS1212531U"">10.2298/MPNS1212531U</a><u></b></font>",http://dx.doi.org/10.2298/mpns1012839g,,2868.0,1
90,Schweizer Archiv für Tierheilkunde,«Lyme disease» als mögliche Ursache von Lahmheiten bei Katzen in der Schweiz?,"['Esther Peterhans', 'E. Peterhans']",10.1024/0036-7281/a000067,2010,2,journal-article,,http://dx.doi.org/10.1024/0036-7281/a000067,,,1
91,Journal of Medical Entomology,"Ecological Niche Modeling of Lyme Disease in British Columbia, Canada","['Sunny Mak', 'Muhammad Morshed', 'Bonnie Henry']",10.1093/jmedent/47.1.99,2010,18,journal-article,,http://dx.doi.org/10.1093/jmedent/47.1.99,http://academic.oup.com/jme/article-pdf/47/1/99/18215325/jmedent47-0099.pdf,,1
92,Experimental and Applied Acarology,First report of lyme disease spirochetes in ticks from Romania (Sibiu County),"['Elena Claudia Coipan', 'Alexandru Filip Vladimirescu']",10.1007/s10493-010-9353-0,2010,10,journal-article,,http://dx.doi.org/10.1007/s10493-010-9353-0,http://link.springer.com/content/pdf/10.1007/s10493-010-9353-0.pdf,,1
